job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl
217 50 1225 10 uniform3 1 4418 25000 3.822 4410 3 5 6 7
218 50 1225 10 uniform3 1 4666 25000 4.386 4410 3 5 8 8
219 50 1225 10 uniform3 1 3198 25000 2.772 4410 3 7 9 9
220 50 1225 10 uniform3 1 7689 25000 7.282 4410 2 4 7 10
221 50 1225 10 uniform3 1 4370 25000 3.912 4410 4 7 8 11
222 50 1225 10 uniform3 1 4134 25000 3.506 4410 3 7 6 12
223 50 1225 10 uniform3 1 4918 25000 4.374 4410 3 7 7 13
224 50 1225 10 uniform3 1 4130 25000 3.664 4410 3 5 5 14
225 50 1225 10 uniform3 1 2749 25000 2.893 4410 4 6 8 15
226 50 1225 10 uniform3 1 6000 25000 5.497 4410 4 6 6 16
227 50 1225 10 uniform3 1 7636 25000 6.725 4410 3 4 8 17
228 50 1225 10 uniform3 1 3662 25000 3.404 4410 3 7 8 18
229 50 1225 10 uniform3 1 5791 25000 5.646 4410 3 8 8 19
230 50 1225 10 uniform3 1 2682 25000 2.682 4410 3 6 6 20
231 50 1225 10 uniform3 1 6628 25000 6.005 4410 3 7 6 21
232 50 1225 10 uniform3 1 4575 25000 3.974 4410 4 7 6 22
233 50 1225 10 uniform3 1 3697 25000 2.996 4410 3 7 7 23
234 50 1225 10 uniform3 1 2945 25000 2.521 4410 3 8 9 24
235 50 1225 10 uniform3 1 4686 25000 3.795 4410 3 6 7 25
236 50 1225 10 uniform3 1 5729 25000 5.27 4410 3 5 8 26
237 50 1225 10 uniform3 1 6665 25000 5.958 4410 3 8 5 27
238 50 1225 10 uniform3 1 3889 25000 3.504 4410 2 8 6 28
239 50 1225 10 uniform3 1 3478 25000 3.001 4410 4 7 9 29
240 50 1225 10 uniform3 1 7508 25000 5.833 4410 4 7 6 30
241 50 1225 25 poisson 1 62500 62500 95.312 29322 4 8 11 1
242 50 1225 25 poisson 1 62500 62500 101.896 29330 3 9 13 2
243 50 1225 25 poisson 1 62500 62500 86.953 29332 3 10 11 3
244 50 1225 25 poisson 1 62500 62500 96.246 29328 3 8 9 4
245 50 1225 25 poisson 1 62500 62500 120.316 29320 3 9 10 5
246 50 1225 25 poisson 1 62500 62500 94.297 29326 4 7 12 6
247 50 1225 25 poisson 1 62500 62500 101.035 29314 2 7 11 7
248 50 1225 25 poisson 1 62500 62500 97.605 29322 4 10 12 8
249 50 1225 25 poisson 1 62500 62500 96.694 29328 5 9 9 9
250 50 1225 25 poisson 1 62500 62500 94.726 29318 3 8 9 10
251 50 1225 25 poisson 1 62500 62500 95.994 29332 3 9 11 11
252 50 1225 25 poisson 1 62500 62500 95.429 29318 3 8 10 12
253 50 1225 25 poisson 1 62500 62500 96.288 29320 3 8 10 13
254 50 1225 25 poisson 1 62500 62500 95.364 29324 3 7 10 14
255 50 1225 25 poisson 1 62500 62500 100.38 29324 3 7 11 15
256 50 1225 25 poisson 1 62500 62500 127.635 29332 3 9 11 16
257 50 1225 25 poisson 1 62500 62500 117.723 29324 4 9 13 17
