job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl type
213 100 4950 2 uniform1 1 20000 20000 10.357 98 1 2 2 3 euclidean
214 100 4950 2 uniform1 1 20000 20000 10.806 94 1 2 2 4 euclidean
215 100 4950 2 uniform1 1 20000 20000 10.799 90 2 2 2 5 euclidean
216 100 4950 2 uniform1 1 20000 20000 10.925 84 2 2 2 6 euclidean
217 100 4950 2 uniform1 1 20000 20000 10.306 88 2 2 2 7 euclidean
218 100 4950 2 uniform1 1 20000 20000 10.522 102 1 2 2 8 euclidean
219 100 4950 2 uniform1 1 20000 20000 10.001 106 2 2 2 9 euclidean
220 100 4950 2 uniform1 1 20000 20000 10.457 96 1 2 2 10 euclidean
221 100 4950 2 uniform1 1 20000 20000 9.738 90 2 2 2 11 euclidean
222 100 4950 2 uniform1 1 20000 20000 10.455 88 2 2 2 12 euclidean
223 100 4950 2 uniform1 1 20000 20000 10.749 94 1 2 2 13 euclidean
224 100 4950 2 uniform1 1 20000 20000 10.834 86 1 2 2 14 euclidean
225 100 4950 2 uniform1 1 20000 20000 11.013 94 2 2 2 15 euclidean
226 100 4950 2 uniform1 1 20000 20000 10.946 88 2 2 2 16 euclidean
227 100 4950 2 uniform1 1 20000 20000 10.926 102 2 2 2 17 euclidean
228 100 4950 2 uniform1 1 20000 20000 10.382 108 1 2 2 18 euclidean
229 100 4950 2 uniform1 1 20000 20000 10.699 80 1 1 2 19 euclidean
230 100 4950 2 uniform1 1 20000 20000 10.673 80 1 2 2 20 euclidean
231 100 4950 2 uniform1 1 20000 20000 13.245 100 1 2 2 21 euclidean
232 100 4950 2 uniform1 1 20000 20000 10.952 80 2 2 2 22 euclidean
233 100 4950 2 uniform1 1 20000 20000 10.713 96 1 2 2 23 euclidean
234 100 4950 2 uniform1 1 20000 20000 10.881 98 2 2 2 24 euclidean
235 100 4950 2 uniform1 1 20000 20000 10.734 106 2 2 2 25 euclidean
236 100 4950 2 uniform1 1 20000 20000 10.857 84 2 2 2 26 euclidean
237 100 4950 2 uniform1 1 20000 20000 10.721 92 1 2 2 27 euclidean
238 100 4950 2 uniform1 1 20000 20000 10.535 102 1 2 2 28 euclidean
239 100 4950 2 uniform1 1 20000 20000 10.518 108 1 2 2 29 euclidean
240 100 4950 2 uniform1 1 20000 20000 11.862 84 2 2 2 30 euclidean
241 100 4950 2 uniform2 0.05 20000 20000 10.561 32 1 2 1 1 euclidean
242 100 4950 2 uniform2 0.05 20000 20000 10.669 30 2 2 2 2 euclidean
243 100 4950 2 uniform2 0.05 20000 20000 10.624 24 1 2 1 3 euclidean
244 100 4950 2 uniform2 0.05 20000 20000 10.33 24 1 2 2 4 euclidean
245 100 4950 2 uniform2 0.05 20000 20000 9.167 22 1 2 2 5 euclidean
246 100 4950 2 uniform2 0.05 20000 20000 10.578 30 1 2 2 6 euclidean
247 100 4950 2 uniform2 0.05 20000 20000 10.143 32 2 1 2 7 euclidean
248 100 4950 2 uniform2 0.05 20000 20000 10.279 32 1 1 2 8 euclidean
249 100 4950 2 uniform2 0.05 20000 20000 10.308 26 1 2 1 9 euclidean
250 100 4950 2 uniform2 0.05 20000 20000 10.424 24 1 2 2 10 euclidean
251 100 4950 2 uniform2 0.05 20000 20000 10.22 30 1 2 2 11 euclidean
252 100 4950 2 uniform2 0.05 20000 20000 10.699 38 1 1 2 12 euclidean
253 100 4950 2 uniform2 0.05 20000 20000 9.762 28 2 2 2 13 euclidean
254 100 4950 2 uniform2 0.05 20000 20000 9.905 34 1 2 2 14 euclidean
255 100 4950 2 uniform2 0.05 20000 20000 10.432 30 2 2 2 15 euclidean
256 100 4950 2 uniform2 0.05 20000 20000 10.559 30 1 2 2 16 euclidean
257 100 4950 2 uniform2 0.05 20000 20000 10.869 30 1 1 2 17 euclidean
258 100 4950 2 uniform2 0.05 20000 20000 10.079 28 2 2 2 18 euclidean
259 100 4950 2 uniform2 0.05 20000 20000 10.213 26 1 2 2 19 euclidean
260 100 4950 2 uniform2 0.05 20000 20000 10.76 18 1 2 2 20 euclidean
261 100 4950 2 uniform2 0.05 20000 20000 12.456 24 1 2 2 21 euclidean
262 100 4950 2 uniform2 0.05 20000 20000 10.973 26 1 2 2 22 euclidean
263 100 4950 2 uniform2 0.05 20000 20000 10.214 32 1 2 2 23 euclidean
264 100 4950 2 uniform2 0.05 20000 20000 10.37 18 1 2 2 24 euclidean
265 100 4950 2 uniform2 0.05 20000 20000 9.447 26 1 2 2 25 euclidean
266 100 4950 2 uniform2 0.05 20000 20000 10.519 20 1 2 2 26 euclidean
267 100 4950 2 uniform2 0.05 20000 20000 12.414 30 1 2 2 27 euclidean
268 100 4950 2 uniform2 0.05 20000 20000 10.139 24 1 2 2 28 euclidean
269 100 4950 2 uniform2 0.05 20000 20000 9.383 22 2 2 2 29 euclidean
270 100 4950 2 uniform2 0.05 20000 20000 9.985 26 1 2 2 30 euclidean
271 100 4950 2 uniform2 0.1 20000 20000 9.635 42 1 1 2 1 euclidean
272 100 4950 2 uniform2 0.1 20000 20000 10.747 44 2 2 2 2 euclidean
